sample_id,task_id,template_family,task_set,split,variant_name,language,domain,gold_tool,intent,need_clarification,clarification_fields,distractor_tools,gold_params
book_flight_ext_001__ambiguous,book_flight_ext_001,book_flight_001,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-06-26）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-06-26"", ""flight_no"": ""MU168"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""economy""}"
book_flight_ext_001__clear,book_flight_ext_001,book_flight_001,external_eval,external_eval,clear,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-06-26）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-06-26"", ""flight_no"": ""MU168"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""economy""}"
book_flight_ext_001__incomplete,book_flight_ext_001,book_flight_001,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-06-26）,True,"[""date"", ""origin"", ""destination""]","[""change_flight"", ""search_web""]","{""date"": ""2026-06-26"", ""flight_no"": ""MU168"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""economy""}"
book_flight_ext_001__misleading,book_flight_ext_001,book_flight_001,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-06-26）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-06-26"", ""flight_no"": ""MU168"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""economy""}"
book_flight_ext_002__ambiguous,book_flight_ext_002,book_flight_001,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-07-12）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-12"", ""flight_no"": ""MU184"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""premium_economy""}"
book_flight_ext_002__clear,book_flight_ext_002,book_flight_001,external_eval,external_eval,clear,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-07-12）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-12"", ""flight_no"": ""MU184"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""premium_economy""}"
book_flight_ext_002__incomplete,book_flight_ext_002,book_flight_001,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-07-12）,True,"[""date"", ""origin"", ""destination""]","[""change_flight"", ""search_web""]","{""date"": ""2026-07-12"", ""flight_no"": ""MU184"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""premium_economy""}"
book_flight_ext_002__misleading,book_flight_ext_002,book_flight_001,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Shanghai to Beijing flight（2026-07-12）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-12"", ""flight_no"": ""MU184"", ""origin"": ""Shanghai"", ""destination"": ""Beijing"", ""seat_class"": ""premium_economy""}"
book_flight_ext_003__ambiguous,book_flight_ext_003,book_flight_002,external_eval,external_eval,ambiguous,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-07-16,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-16"", ""flight_no"": ""CA233"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""economy""}"
book_flight_ext_003__clear,book_flight_ext_003,book_flight_002,external_eval,external_eval,clear,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-07-16,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-16"", ""flight_no"": ""CA233"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""economy""}"
book_flight_ext_003__incomplete,book_flight_ext_003,book_flight_002,external_eval,external_eval,incomplete,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-07-16,True,"[""date"", ""origin"", ""destination""]","[""change_flight"", ""search_web""]","{""date"": ""2026-07-16"", ""flight_no"": ""CA233"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""economy""}"
book_flight_ext_003__misleading,book_flight_ext_003,book_flight_002,external_eval,external_eval,misleading,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-07-16,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-07-16"", ""flight_no"": ""CA233"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""economy""}"
book_flight_ext_004__ambiguous,book_flight_ext_004,book_flight_002,external_eval,external_eval,ambiguous,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-08-01,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-01"", ""flight_no"": ""CA249"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""premium_economy""}"
book_flight_ext_004__clear,book_flight_ext_004,book_flight_002,external_eval,external_eval,clear,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-08-01,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-01"", ""flight_no"": ""CA249"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""premium_economy""}"
book_flight_ext_004__incomplete,book_flight_ext_004,book_flight_002,external_eval,external_eval,incomplete,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-08-01,True,"[""date"", ""origin"", ""destination""]","[""change_flight"", ""search_web""]","{""date"": ""2026-08-01"", ""flight_no"": ""CA249"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""premium_economy""}"
book_flight_ext_004__misleading,book_flight_ext_004,book_flight_002,external_eval,external_eval,misleading,en,travel,book_flight,Book a Beijing to Shenzhen flight on 2026-08-01,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-01"", ""flight_no"": ""CA249"", ""origin"": ""Beijing"", ""destination"": ""Shenzhen"", ""seat_class"": ""premium_economy""}"
book_flight_ext_005__ambiguous,book_flight_ext_005,book_flight_003,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-08-29）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-29"", ""flight_no"": ""CZ3146"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""economy""}"
book_flight_ext_005__clear,book_flight_ext_005,book_flight_003,external_eval,external_eval,clear,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-08-29）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-29"", ""flight_no"": ""CZ3146"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""economy""}"
