[2026-04-14 18:11:13] Watcher started.
[2026-04-14 18:11:13] Current run: run_20260414_glm_main_20260414_180705
[2026-04-14 18:11:13] Next config: configs/runs/phase3_glm_external_eval.yaml
[2026-04-14 18:11:14] Observed status: running
[2026-04-14 18:11:29] Observed status: running
[2026-04-14 18:11:44] Observed status: running
[2026-04-14 18:11:59] Observed status: running
[2026-04-14 18:12:14] Observed status: running
[2026-04-14 18:12:29] Observed status: running
[2026-04-14 18:12:44] Observed status: running
[2026-04-14 18:12:59] Observed status: running
[2026-04-14 18:13:14] Observed status: running
[2026-04-14 18:13:29] Observed status: running
[2026-04-14 18:13:44] Observed status: running
[2026-04-14 18:13:59] Observed status: running
[2026-04-14 18:14:14] Observed status: running
[2026-04-14 18:14:29] Observed status: running
[2026-04-14 18:14:44] Observed status: running
[2026-04-14 18:14:59] Observed status: running
[2026-04-14 18:15:14] Observed status: running
[2026-04-14 18:15:29] Observed status: running
[2026-04-14 18:15:44] Observed status: running
[2026-04-14 18:15:59] Observed status: running
[2026-04-14 18:16:14] Observed status: running
[2026-04-14 18:16:29] Observed status: running
[2026-04-14 18:16:44] Observed status: running
[2026-04-14 18:16:59] Observed status: running
[2026-04-14 18:17:14] Observed status: running
[2026-04-14 18:17:29] Observed status: running
[2026-04-14 18:17:44] Observed status: running
[2026-04-14 18:17:59] Observed status: running
[2026-04-14 18:18:14] Observed status: running
[2026-04-14 18:18:29] Observed status: running
[2026-04-14 18:18:44] Observed status: running
[2026-04-14 18:18:59] Observed status: running
[2026-04-14 18:19:14] Observed status: running
[2026-04-14 18:19:29] Observed status: running
[2026-04-14 18:19:44] Observed status: running
[2026-04-14 18:19:59] Observed status: running
[2026-04-14 18:20:14] Observed status: running
[2026-04-14 18:20:29] Observed status: running
[2026-04-14 18:20:44] Observed status: running
[2026-04-14 18:20:59] Observed status: running
[2026-04-14 18:21:14] Observed status: running
[2026-04-14 18:21:29] Observed status: running
[2026-04-14 18:21:44] Observed status: running
[2026-04-14 18:21:59] Observed status: running
[2026-04-14 18:22:14] Observed status: running
[2026-04-14 18:22:29] Observed status: running
[2026-04-14 18:22:44] Observed status: running
[2026-04-14 18:22:59] Observed status: running
[2026-04-14 18:23:14] Observed status: running
[2026-04-14 18:23:29] Observed status: running
[2026-04-14 18:23:44] Observed status: running
[2026-04-14 18:23:59] Observed status: running
[2026-04-14 18:24:14] Observed status: running
[2026-04-14 18:24:29] Observed status: running
[2026-04-14 18:24:44] Observed status: running
[2026-04-14 18:24:59] Observed status: running
[2026-04-14 18:25:14] Observed status: running
[2026-04-14 18:25:29] Observed status: running
[2026-04-14 18:25:44] Observed status: running
[2026-04-14 18:25:59] Observed status: running
[2026-04-14 18:26:14] Observed status: running
[2026-04-14 18:26:29] Observed status: running
[2026-04-14 18:26:44] Observed status: running
[2026-04-14 18:26:59] Observed status: running
[2026-04-14 18:27:14] Observed status: running
[2026-04-14 18:27:29] Observed status: running
[2026-04-14 18:27:45] Observed status: running
[2026-04-14 18:28:00] Observed status: running
[2026-04-14 18:28:15] Observed status: running
[2026-04-14 18:28:30] Observed status: running
[2026-04-14 18:28:45] Observed status: running
[2026-04-14 18:29:00] Observed status: running
[2026-04-14 18:29:15] Observed status: running
[2026-04-14 18:29:30] Observed status: running
[2026-04-14 18:29:45] Observed status: running
[2026-04-14 18:30:00] Observed status: running
[2026-04-14 18:30:15] Observed status: running
[2026-04-14 18:30:30] Observed status: running
[2026-04-14 18:30:45] Observed status: running
[2026-04-14 18:31:00] Observed status: running
[2026-04-14 18:31:15] Observed status: running
[2026-04-14 18:31:30] Observed status: running
[2026-04-14 18:31:45] Observed status: running
[2026-04-14 18:32:00] Observed status: running
[2026-04-14 18:32:15] Observed status: running
[2026-04-14 18:32:30] Observed status: running
[2026-04-14 18:32:45] Observed status: running
[2026-04-14 18:33:00] Observed status: running
[2026-04-14 18:33:15] Observed status: running
[2026-04-14 18:33:30] Observed status: running
[2026-04-14 18:33:45] Observed status: running
[2026-04-14 18:34:00] Observed status: running
[2026-04-14 18:34:15] Observed status: running
[2026-04-14 18:34:30] Observed status: running
[2026-04-14 18:34:45] Observed status: running
[2026-04-14 18:35:00] Observed status: running
[2026-04-14 18:35:15] Observed status: running
[2026-04-14 18:35:30] Observed status: running
[2026-04-14 18:35:45] Observed status: running
[2026-04-14 18:36:00] Observed status: running
[2026-04-14 18:36:15] Observed status: running
[2026-04-14 18:36:30] Observed status: running
[2026-04-14 18:36:45] Observed status: running
[2026-04-14 18:37:00] Observed status: running
[2026-04-14 18:37:15] Observed status: running
[2026-04-14 18:37:30] Observed status: running
[2026-04-14 18:37:45] Observed status: running
[2026-04-14 18:38:00] Observed status: running
[2026-04-14 18:38:15] Observed status: running
[2026-04-14 18:38:30] Observed status: running
[2026-04-14 18:38:45] Observed status: running
[2026-04-14 18:39:00] Observed status: running
[2026-04-14 18:39:15] Observed status: running
[2026-04-14 18:39:30] Observed status: running
[2026-04-14 18:39:45] Observed status: running
[2026-04-14 18:40:00] Observed status: running
[2026-04-14 18:40:15] Observed status: running
[2026-04-14 18:40:30] Observed status: running
[2026-04-14 18:40:45] Observed status: running
[2026-04-14 18:41:00] Observed status: running
[2026-04-14 18:41:15] Observed status: running
[2026-04-14 18:41:30] Observed status: running
[2026-04-14 18:41:45] Observed status: running
[2026-04-14 18:42:00] Observed status: running
[2026-04-14 18:42:15] Observed status: running
[2026-04-14 18:42:30] Observed status: running
[2026-04-14 18:42:45] Observed status: running
[2026-04-14 18:43:00] Observed status: running
[2026-04-14 18:43:15] Observed status: running
[2026-04-14 18:43:30] Observed status: running
[2026-04-14 18:43:45] Observed status: running
[2026-04-14 18:44:00] Observed status: running
[2026-04-14 18:44:15] Observed status: running
[2026-04-14 18:44:31] Observed status: running
[2026-04-14 18:44:46] Observed status: running
[2026-04-14 18:45:01] Observed status: running
[2026-04-14 18:45:16] Observed status: running
[2026-04-14 18:45:31] Observed status: running
[2026-04-14 18:45:46] Observed status: running
[2026-04-14 18:46:01] Observed status: running
[2026-04-14 18:46:16] Observed status: running
[2026-04-14 18:46:31] Observed status: running
[2026-04-14 18:46:46] Observed status: running
[2026-04-14 18:47:01] Observed status: running
[2026-04-14 18:47:16] Observed status: running
[2026-04-14 18:47:31] Observed status: running
[2026-04-14 18:47:46] Observed status: running
[2026-04-14 18:48:01] Observed status: running
[2026-04-14 18:48:16] Observed status: running
[2026-04-14 18:48:31] Observed status: running
[2026-04-14 18:48:46] Observed status: running
[2026-04-14 18:49:01] Observed status: running
[2026-04-14 18:49:16] Observed status: running
[2026-04-14 18:49:31] Observed status: running
[2026-04-14 18:49:46] Observed status: running
[2026-04-14 18:50:01] Observed status: running
[2026-04-14 18:50:16] Observed status: running
[2026-04-14 18:50:31] Observed status: running
[2026-04-14 18:50:46] Observed status: running
[2026-04-14 18:51:01] Observed status: running
[2026-04-14 18:51:16] Observed status: running
[2026-04-14 18:51:31] Observed status: running
[2026-04-14 18:51:46] Observed status: running
[2026-04-14 18:52:01] Observed status: running
[2026-04-14 18:52:16] Observed status: running
[2026-04-14 18:52:31] Observed status: running
[2026-04-14 18:52:46] Observed status: running
[2026-04-14 18:53:01] Observed status: running
[2026-04-14 18:53:16] Observed status: running
[2026-04-14 18:53:31] Observed status: running
[2026-04-14 18:53:46] Observed status: running
[2026-04-14 18:54:01] Observed status: running
[2026-04-14 18:54:16] Observed status: running
[2026-04-14 18:54:31] Observed status: running
[2026-04-14 18:54:46] Observed status: running
[2026-04-14 18:55:01] Observed status: running
[2026-04-14 18:55:16] Observed status: running
[2026-04-14 18:55:31] Observed status: running
[2026-04-14 18:55:46] Observed status: running
[2026-04-14 18:56:01] Observed status: running
[2026-04-14 18:56:16] Observed status: running
[2026-04-14 18:56:31] Observed status: running
[2026-04-14 18:56:46] Observed status: running
[2026-04-14 18:57:01] Observed status: running
[2026-04-14 18:57:16] Observed status: running
[2026-04-14 18:57:31] Observed status: running
[2026-04-14 18:57:46] Observed status: running
[2026-04-14 18:58:01] Observed status: running
[2026-04-14 18:58:16] Observed status: running
[2026-04-14 18:58:32] Observed status: running
[2026-04-14 18:58:47] Observed status: running
[2026-04-14 18:59:02] Observed status: running
[2026-04-14 18:59:17] Observed status: running
[2026-04-14 18:59:32] Observed status: running
[2026-04-14 18:59:47] Observed status: running
[2026-04-14 19:00:02] Observed status: running
[2026-04-14 19:00:17] Observed status: running
[2026-04-14 19:00:32] Observed status: running
[2026-04-14 19:00:47] Observed status: running
[2026-04-14 19:01:02] Observed status: running
[2026-04-14 19:01:17] Observed status: running
[2026-04-14 19:01:32] Observed status: running
[2026-04-14 19:01:47] Observed status: running
[2026-04-14 19:02:02] Observed status: running
[2026-04-14 19:02:17] Observed status: running
[2026-04-14 19:02:32] Observed status: running
[2026-04-14 19:02:47] Observed status: running
[2026-04-14 19:03:02] Observed status: running
[2026-04-14 19:03:17] Observed status: running
[2026-04-14 19:03:32] Observed status: running
[2026-04-14 19:03:47] Observed status: running
[2026-04-14 19:04:02] Observed status: running
[2026-04-14 19:04:17] Observed status: running
[2026-04-14 19:04:32] Observed status: running
[2026-04-14 19:04:47] Observed status: running
[2026-04-14 19:05:02] Observed status: running
[2026-04-14 19:05:17] Observed status: running
[2026-04-14 19:05:32] Observed status: running
[2026-04-14 19:05:47] Observed status: running
[2026-04-14 19:06:02] Observed status: running
[2026-04-14 19:06:17] Observed status: running
[2026-04-14 19:06:32] Observed status: running
[2026-04-14 19:06:47] Observed status: running
[2026-04-14 19:07:02] Observed status: running
[2026-04-14 19:07:17] Observed status: running
[2026-04-14 19:07:32] Observed status: running
[2026-04-14 19:07:47] Observed status: running
[2026-04-14 19:08:02] Observed status: running
[2026-04-14 19:08:17] Observed status: running
[2026-04-14 19:08:32] Observed status: running
[2026-04-14 19:08:47] Observed status: running
[2026-04-14 19:09:02] Observed status: running
[2026-04-14 19:09:17] Observed status: running
[2026-04-14 19:09:32] Observed status: running
[2026-04-14 19:09:47] Observed status: running
[2026-04-14 19:10:02] Observed status: running
[2026-04-14 19:10:17] Observed status: running
[2026-04-14 19:10:32] Observed status: running
[2026-04-14 19:10:47] Observed status: running
[2026-04-14 19:11:02] Observed status: running
[2026-04-14 19:11:17] Observed status: running
[2026-04-14 19:11:32] Observed status: running
[2026-04-14 19:11:47] Observed status: running
[2026-04-14 19:12:02] Observed status: running
[2026-04-14 19:12:17] Observed status: running
[2026-04-14 19:12:32] Observed status: running
[2026-04-14 19:12:47] Observed status: running
[2026-04-14 19:13:02] Observed status: running
[2026-04-14 19:13:17] Observed status: running
[2026-04-14 19:13:32] Observed status: running
[2026-04-14 19:13:47] Observed status: running
[2026-04-14 19:14:02] Observed status: running
[2026-04-14 19:14:17] Observed status: running
[2026-04-14 19:14:32] Observed status: running
[2026-04-14 19:14:47] Observed status: running
[2026-04-14 19:15:02] Observed status: running
[2026-04-14 19:15:17] Observed status: running
[2026-04-14 19:15:32] Observed status: running
[2026-04-14 19:15:47] Observed status: running
[2026-04-14 19:16:02] Observed status: running
[2026-04-14 19:16:18] Observed status: running
[2026-04-14 19:16:33] Observed status: running
[2026-04-14 19:16:48] Observed status: running
[2026-04-14 19:17:03] Observed status: running
[2026-04-14 19:17:18] Observed status: running
[2026-04-14 19:17:33] Observed status: running
[2026-04-14 19:17:48] Observed status: running
[2026-04-14 19:18:03] Observed status: running
[2026-04-14 19:18:18] Observed status: running
[2026-04-14 19:18:33] Observed status: running
[2026-04-14 19:18:48] Observed status: running
[2026-04-14 19:19:03] Observed status: running
[2026-04-14 19:19:18] Observed status: running
[2026-04-14 19:19:33] Observed status: running
[2026-04-14 19:19:48] Observed status: running
